N,Function,Latency_ms,Estimation,Error_abs,Error_rel
1,P1_CUDA_Det,0.040295,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040547,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040145,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040165,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040044,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040817,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040806,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040135,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040556,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039975,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040476,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039814,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040936,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040476,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040446,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040386,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039765,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040046,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040045,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040086,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040146,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040446,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039925,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039995,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040516,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039805,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040155,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039845,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040255,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039885,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039814,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040546,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039986,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040136,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040466,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040136,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039975,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040106,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040065,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040416,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039945,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040376,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039935,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040506,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040005,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039524,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040756,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039775,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040015,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040436,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040676,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040095,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039734,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040626,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040006,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039774,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040646,0.00788608,1.93972e-06,0.000246028
