N,Function,Latency_ms,Estimation,Error
1000,CPU,0.300683,0.074,0.0054104
1000,CPU,0.304249,0.074,0.0054104
1000,CPU,0.302707,0.063,0.0055896
1000,CPU,0.303097,0.053,0.0155896
1000,CPU,0.302476,0.066,0.0025896
1000,CPU,0.301765,0.069,0.0004104
1000,CPU,0.303307,0.071,0.0024104
1000,CPU,0.303207,0.069,0.0004104
1000,CPU,0.303158,0.06,0.0085896
1000,CPU,0.303197,0.072,0.0034104
1000,CPU,0.303327,0.07,0.0014104
1000,CPU,0.298729,0.056,0.0125896
1000,CPU,0.303698,0.079,0.0104104
1000,CPU,0.3047,0.073,0.0044104
1000,CPU,0.310742,0.086,0.0174104
1000,CPU,0.303728,0.069,0.0004104
1000,CPU,0.300382,0.058,0.0105896
1000,CPU,0.308567,0.081,0.0124104
1000,CPU,0.306654,0.079,0.0104104
1000,CPU,0.303017,0.058,0.0105896
1000,CPU,0.303277,0.078,0.0094104
1000,CPU,0.302776,0.065,0.0035896
1000,CPU,0.299781,0.066,0.0025896
1000,CPU,0.323255,0.07,0.0014104
1000,CPU,0.343523,0.074,0.0054104
1000,CPU,0.303578,0.063,0.0055896
1000,CPU,0.303608,0.089,0.0204104
1000,CPU,0.303087,0.062,0.0065896
1000,CPU,0.299861,0.08,0.0114104
1000,CPU,0.303467,0.087,0.0184104
1000,CPU,0.303789,0.069,0.0004104
1000,CPU,0.307125,0.062,0.0065896
1000,CPU,0.302165,0.077,0.0084104
1000,CPU,0.29904,0.073,0.0044104
1000,CPU,0.302586,0.059,0.0095896
1000,CPU,0.302827,0.061,0.0075896
1000,CPU,0.303357,0.074,0.0054104
1000,CPU,0.302836,0.071,0.0024104
1000,CPU,0.303357,0.062,0.0065896
1000,CPU,0.29929,0.072,0.0034104
1000,CPU,0.302516,0.051,0.0175896
1000,CPU,0.302987,0.053,0.0155896
1000,CPU,0.302205,0.06,0.0085896
1000,CPU,0.308147,0.069,0.0004104
1000,CPU,0.302937,0.059,0.0095896
1000,CPU,0.303348,0.066,0.0025896
1000,CPU,0.302996,0.07,0.0014104
1000,CPU,0.303347,0.066,0.0025896
1000,CPU,0.303427,0.069,0.0004104
1000,CPU,0.302917,0.057,0.0115896
1000,CPU,0.29925,0.076,0.0074104
1000,CPU,0.3046,0.071,0.0024104
1000,CPU,0.303378,0.058,0.0105896
1000,CPU,0.309078,0.088,0.0194104
1000,CPU,0.302837,0.072,0.0034104
1000,CPU,0.298508,0.071,0.0024104
1000,CPU,0.303047,0.073,0.0044104
1000,CPU,0.306143,0.075,0.0064104
1000,CPU,0.303488,0.073,0.0044104
1000,CPU,0.302916,0.072,0.0034104
1000,CPU,0.302746,0.057,0.0115896
1000,CPU,0.298569,0.071,0.0024104
1000,CPU,0.303328,0.064,0.0045896
1000,CPU,0.303488,0.085,0.0164104
1000,CPU,0.303377,0.058,0.0105896
1000,CPU,0.303167,0.065,0.0035896
1000,CPU,0.302035,0.066,0.0025896
1000,CPU,0.299812,0.083,0.0144104
1000,CPU,0.302646,0.067,0.0015896
1000,CPU,0.302676,0.061,0.0075896
1000,CPU,0.302896,0.067,0.0015896
1000,CPU,0.306353,0.049,0.0195896
1000,CPU,0.298749,0.058,0.0105896
1000,CPU,0.303247,0.077,0.0084104
1000,CPU,0.302155,0.061,0.0075896
1000,CPU,0.303277,0.073,0.0044104
1000,CPU,0.303657,0.064,0.0045896
1000,CPU,0.302576,0.08,0.0114104
1000,CPU,0.29957,0.071,0.0024104
