N,Function,Measurement_ms
256,OpenMP_t1,87.1661
256,OpenMP_t1,87.4747
256,OpenMP_t1,87.5679
256,OpenMP_t1,87.4498
256,OpenMP_t1,88.0562
256,OpenMP_t1,87.3826
256,OpenMP_t1,87.5772
256,OpenMP_t1,87.8408
256,OpenMP_t1,87.7049
256,OpenMP_t1,87.4939
256,OpenMP_t1,87.4339
256,OpenMP_t1,87.1318
256,OpenMP_t2,43.6837
256,OpenMP_t2,43.8054
256,OpenMP_t2,43.1014
256,OpenMP_t2,43.6143
256,OpenMP_t2,43.6496
256,OpenMP_t2,43.6287
256,OpenMP_t2,43.332
256,OpenMP_t2,43.0391
256,OpenMP_t2,43.6398
256,OpenMP_t2,43.6382
256,OpenMP_t2,43.7875
256,OpenMP_t2,43.9456
256,OpenMP_t2,44.0487
256,OpenMP_t2,43.7519
256,OpenMP_t2,43.7352
256,OpenMP_t2,43.4147
256,OpenMP_t2,43.7939
256,OpenMP_t2,43.6305
256,OpenMP_t2,43.5557
256,OpenMP_t2,43.3235
256,OpenMP_t2,43.2247
256,OpenMP_t2,43.3335
256,OpenMP_t2,43.2854
256,OpenMP_t4,21.9113
256,OpenMP_t4,21.864
256,OpenMP_t4,21.7072
256,OpenMP_t4,22.0442
256,OpenMP_t4,21.7746
256,OpenMP_t4,21.6445
256,OpenMP_t4,21.6285
256,OpenMP_t4,21.5634
256,OpenMP_t4,21.6079
256,OpenMP_t4,21.8438
256,OpenMP_t4,22.028
256,OpenMP_t4,22.0176
256,OpenMP_t4,26.8771
256,OpenMP_t4,25.9965
256,OpenMP_t4,22.4555
256,OpenMP_t4,22.0019
256,OpenMP_t4,22.0287
256,OpenMP_t4,22.017
256,OpenMP_t4,22.1084
256,OpenMP_t4,22.1303
256,OpenMP_t4,21.9148
256,OpenMP_t4,21.9595
256,OpenMP_t4,22.0899
256,OpenMP_t4,21.9879
256,OpenMP_t4,22.0205
256,OpenMP_t4,22.1444
256,OpenMP_t4,22.2842
256,OpenMP_t4,21.9951
256,OpenMP_t4,25.2026
256,OpenMP_t4,25.8482
256,OpenMP_t4,21.8146
256,OpenMP_t4,21.8081
256,OpenMP_t4,21.9836
256,OpenMP_t4,21.9022
256,OpenMP_t4,22.0918
256,OpenMP_t4,21.8947
256,OpenMP_t4,21.9114
256,OpenMP_t4,21.8852
256,OpenMP_t4,21.8402
256,OpenMP_t4,21.9127
256,OpenMP_t4,22.0969
256,OpenMP_t4,22.0691
256,OpenMP_t4,21.9369
256,OpenMP_t4,22.1068
256,OpenMP_t4,22.0789
256,OpenMP_t8,10.9155
256,OpenMP_t8,10.9042
256,OpenMP_t8,10.9641
256,OpenMP_t8,10.9359
256,OpenMP_t8,10.9899
256,OpenMP_t8,10.9438
256,OpenMP_t8,10.9884
256,OpenMP_t8,10.9288
256,OpenMP_t8,11.5183
256,OpenMP_t8,10.9425
256,OpenMP_t8,10.9048
256,OpenMP_t8,10.8745
256,OpenMP_t8,10.9693
256,OpenMP_t8,10.8729
256,OpenMP_t8,10.8683
256,OpenMP_t8,10.8989
256,OpenMP_t8,10.8967
256,OpenMP_t8,10.9018
256,OpenMP_t8,10.8694
256,OpenMP_t8,10.8792
256,OpenMP_t8,10.9098
256,OpenMP_t8,10.8518
256,OpenMP_t8,10.8968
256,OpenMP_t8,10.8514
256,OpenMP_t8,10.8811
256,OpenMP_t8,10.912
256,OpenMP_t8,10.9014
256,OpenMP_t8,10.8966
256,OpenMP_t8,10.9143
256,OpenMP_t8,10.8916
256,OpenMP_t8,11.062
256,OpenMP_t8,10.9134
256,OpenMP_t8,10.8848
256,OpenMP_t8,10.9193
256,OpenMP_t8,10.8867
256,OpenMP_t8,10.9269
256,OpenMP_t8,11.0725
256,OpenMP_t8,11.0185
256,OpenMP_t8,10.9032
256,OpenMP_t8,10.9063
256,OpenMP_t8,10.8868
256,OpenMP_t8,10.8601
256,OpenMP_t8,10.8878
256,OpenMP_t8,11.2136
256,OpenMP_t8,10.8906
256,OpenMP_t8,10.8795
256,OpenMP_t8,10.9036
256,OpenMP_t8,10.8851
256,OpenMP_t8,10.9179
256,OpenMP_t8,10.9108
256,OpenMP_t8,10.8926
256,OpenMP_t8,10.9068
256,OpenMP_t8,10.8871
256,OpenMP_t8,10.9156
256,OpenMP_t8,10.9145
256,OpenMP_t8,10.8919
256,OpenMP_t8,10.8689
256,OpenMP_t8,10.8804
256,OpenMP_t8,10.8697
256,OpenMP_t8,10.893
256,OpenMP_t8,10.914
256,OpenMP_t8,10.9381
256,OpenMP_t8,10.9231
256,OpenMP_t8,10.898
256,OpenMP_t8,10.912
256,OpenMP_t8,10.9196
256,OpenMP_t8,10.9081
256,OpenMP_t8,10.9075
256,OpenMP_t8,10.9229
256,OpenMP_t8,10.9115
256,OpenMP_t8,10.9122
256,OpenMP_t8,10.921
256,OpenMP_t8,10.9093
256,OpenMP_t8,10.9099
256,OpenMP_t8,10.9199
256,OpenMP_t8,10.9282
256,OpenMP_t8,10.9338
256,OpenMP_t8,10.9286
256,OpenMP_t8,10.9363
256,OpenMP_t8,10.923
256,OpenMP_t8,10.9358
256,OpenMP_t8,10.9285
256,OpenMP_t8,10.9276
256,OpenMP_t8,10.9507
256,OpenMP_t8,10.9629
256,OpenMP_t8,10.961
256,OpenMP_t8,10.9255
256,OpenMP_t8,10.936
256,OpenMP_t8,10.925
256,OpenMP_t8,10.9193
256,OpenMP_t8,10.9052
256,OpenMP_t8,10.9103
256,OpenMP_t16,5.5835
256,OpenMP_t16,5.52789
256,OpenMP_t16,5.60501
256,OpenMP_t16,5.53198
256,OpenMP_t16,5.53405
256,OpenMP_t16,5.55764
256,OpenMP_t16,5.52516
256,OpenMP_t16,5.51675
256,OpenMP_t16,5.58753
256,OpenMP_t16,5.55133
256,OpenMP_t16,5.59949
256,OpenMP_t16,5.53731
256,OpenMP_t16,5.52076
256,OpenMP_t16,5.56818
256,OpenMP_t16,5.5344
256,OpenMP_t16,5.55364
256,OpenMP_t16,5.53028
256,OpenMP_t16,5.51787
256,OpenMP_t16,5.55495
256,OpenMP_t16,5.53926
256,OpenMP_t16,5.54362
256,OpenMP_t16,5.58734
256,OpenMP_t16,5.55451
256,OpenMP_t16,5.58232
256,OpenMP_t16,5.5317
256,OpenMP_t16,5.55224
256,OpenMP_t16,5.55603
256,OpenMP_t16,5.54785
